Country,Country Code,population_total,gdp_ppp_current_intl,trade_pct_gdp,military_expenditure_pct_gdp,co2_tonnes_per_capita,democracy_index,HDI
United Kingdom,GBR,69226000.0,4196506479513.419,62.40750139688368,2.26487905161201,,8.34,0.946
Georgia,GEO,3673850.0,104402557696.26404,104.3353881142564,1.68114376621765,,4.7,0.844
Ghana,GHA,34427414.0,276354650562.2267,69.35264916737798,0.389157461523268,,6.24,0.628
Gibraltar,GIB,39329.0,,,,,,
Guinea,GIN,14754785.0,67563663630.91517,100.0932025468453,2.12575054080202,,2.04,0.5
"Gambia, The",GMB,2759988.0,9508853052.23079,43.7388373481181,0.5843058358149941,,4.47,0.524
Guinea-Bissau,GNB,2201352.0,6720047738.842637,40.66132172346956,1.45545277154688,,2.03,0.514
Equatorial Guinea,GNQ,1892516.0,33245374421.92124,60.54145109759066,1.59021698232115,,1.92,0.674
Greece,GRC,10388805.0,457879263225.2494,89.31658945004042,3.23440755796675,,8.07,0.908
Grenada,GRD,117207.0,2363736937.198312,,,,,0.791
Greenland,GRL,56836.0,4483270596.148788,91.89009943758208,,,,
Guatemala,GTM,18406359.0,264474716594.7989,47.34419471060629,0.411176407815766,,4.55,0.662
Guam,GUM,167777.0,,71.86685962373372,,,,
Guyana,GUY,831087.0,66408625273.32588,194.35075731017207,0.586516734323403,,6.11,0.776
"Hong Kong SAR, China",HKG,7524100.0,565930796570.7213,359.40217683828706,,,5.09,0.955
Honduras,HND,10825703.0,81041415057.12355,91.1101585856976,1.56610457514466,,4.98,0.645
Croatia,HRV,3866300.0,187806348373.77048,102.71621868931793,1.7798921988481102,,6.5,0.889
Haiti,HTI,11772557.0,37477453598.12562,22.24788537261069,0.0540928489525686,,2.74,0.554
Hungary,HUN,9562314.0,455509390728.3133,143.77751099949268,2.12784318809435,,6.51,0.87
Indonesia,IDN,283487931.0,4662887595103.259,42.572647301834,0.6775410698859811,,6.44,0.728
Isle of Man,IMN,84160.0,,,,,,
India,IND,1450935791.0,16190819718797.527,44.6710926352422,2.44305076476938,,7.29,0.685
Ireland,IRL,5380257.0,705755786877.7823,252.96292526245955,0.216857882649718,,9.19,0.949
"Iran, Islamic Rep.",IRN,91567738.0,1688651728561.7026,49.71489401087613,2.06140369835077,,1.96,0.799
Iraq,IRQ,46042015.0,665966378219.4736,74.73642330752597,2.07316277530662,,2.8,0.695
Iceland,ISL,404610.0,31664276580.461742,84.32187127884819,,,9.38,0.972
Israel,ISR,9974400.0,555481708109.9464,54.452000296972734,5.31741153367738,,7.8,0.919
Italy,ITA,58986023.0,3589121540312.876,63.17608906123471,1.60578289334057,,7.58,0.915
Jamaica,JAM,2839175.0,33111437467.44809,90.11060763359936,1.22435313075752,,6.74,0.72
Jordan,JOR,11552876.0,125019343386.98958,99.67944773657244,4.9053784951802095,,3.28,0.754
Japan,JPN,123975371.0,6407671854496.885,45.15087956412477,1.19606991540042,,8.48,0.925
Kazakhstan,KAZ,20592571.0,840445512071.7347,61.96238433295876,0.480059037069259,,3.08,0.837
Kenya,KEN,56432944.0,373549891750.1104,30.29329812642673,0.905816835053688,,5.05,0.628
Kyrgyz Republic,KGZ,7224614.0,57864889798.002174,132.37340391233607,3.6219080711344,,3.52,0.72
Cambodia,KHM,17638801.0,140580072943.65546,143.44700970301105,2.08968280637576,,2.94,0.606
Kiribati,KIR,134518.0,498029490.1862561,101.15087082052744,,,,0.644
St. Kitts and Nevis,KNA,46843.0,1665025419.5354173,,,,,0.84
"Korea, Rep.",KOR,51751065.0,2699603936744.0884,87.9396791903733,2.81204562667304,,7.75,0.937
Kuwait,KWT,4973861.0,256830086700.11963,90.91881021459392,4.89572861288627,,2.78,0.852
Lao PDR,LAO,7769819.0,76049830544.99109,75.09189092041244,0.189895181780941,,1.71,0.617
Lebanon,LBN,5805962.0,72600709791.52489,104.20641006918235,8.91317581679359,,3.56,0.752
Liberia,LBR,5612817.0,10579672532.055183,,2.29838717994242,,5.57,0.51
Libya,LBY,7381023.0,102993304184.4718,133.9285539958519,15.4795763013832,,2.31,0.721
St. Lucia,LCA,179744.0,4955061818.049139,,,,,0.748
Liechtenstein,LIE,40197.0,,,,,,0.938
